Condition	Video	Date	Time	Time_2
B	E04B-0133	07/09/2017	9:36:00	0.4
B	E04B-0135	07/09/2017	10:25:00	0.434027778
B	E04B-0136	07/09/2017	11:06:00	0.4625
B	E04B-0138	07/09/2017	11:42:00	0.4875
B	E04B-0141	07/09/2017	12:35:00	0.524305556
B	E04B-0143	07/09/2017	13:13:00	0.550694444
B	E04B-0146	07/09/2017	13:48:00	0.575
B	E04B-0149	07/09/2017	14:40:00	0.611111111
B	E04B-0152	07/09/2017	15:56:00	0.663888889
B	E04B-0153	07/09/2017	16:52:00	0.702777778
B	E04B-0154	08/09/2017	10:24:00	0.433333333
B	E04B-0156	08/09/2017	11:00:00	0.458333333
